,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BMI1,-0.07272674,-0.0022203426,3.2544649,-0.047004163,-0.057677142,6.27008,-0.06043435,-0.0017545098,-0.03414365,3.2799902,-0.059151962,-0.04660672,6.9537015,-0.022011185,4.9177303,6.9139504
ARNT2,-0.074877396,-0.0023915342,3.2375274,-0.04827254,-0.059762947,6.4724526,-0.061933506,-0.002259481,-0.034815267,3.4072242,-0.060903892,-0.04821669,7.189995,-0.022878658,5.0812073,7.109033
BTG2,-0.07176679,-0.002254945,3.2890613,-0.046648078,-0.057057243,6.1950464,-0.05977736,-0.0016133881,-0.034017343,3.2477946,-0.05865362,-0.045960777,6.842404,-0.021714658,4.8386636,6.8515325
MED4,-0.06455951,0.45186907,3.3666902,-0.04084432,-0.053460434,5.1750793,-0.060238738,-0.0037693612,-0.032187723,3.4011028,-0.05321063,-0.042426765,7.139322,-0.018881362,3.8786948,6.8185697
SOAT1,-0.07429465,-0.0022997528,3.2497501,-0.047891207,-0.059064887,6.4036217,-0.0614582,-0.0020471725,-0.034654643,3.358671,-0.06032563,-0.04762547,7.103786,-0.022561127,5.0219965,7.033842
TLE1,-0.07389758,-0.004682353,3.0323431,-0.045953546,-0.061643805,6.7279444,-0.060561128,-0.0042929053,-0.033708327,3.648931,-0.058911238,-0.049768806,7.073721,-0.021363782,5.078939,6.955509
NFATC2IP,-0.071708985,-0.0020454791,3.2678814,-0.046283215,-0.056548968,6.155716,-0.059597697,-0.0014648613,-0.033891883,3.210963,-0.058236875,-0.045795903,6.826691,-0.021576848,4.8289027,6.800938
GM13597,-0.06930467,-0.004456054,0.11385477,-0.04408469,-0.06840567,7.51912,-0.057994917,-0.014398466,-0.020894181,4.0521293,-0.06564308,-0.05016264,7.7015004,-0.025470514,5.6187515,7.3161993
SOX4,-0.073398314,-0.002264153,3.2558708,-0.047381453,-0.05825507,6.322779,-0.060850155,-0.0018716053,-0.03437131,3.3100924,-0.059634328,-0.047033217,7.018012,-0.022272324,4.9622526,6.9610057
YEATS2,-0.07301454,-0.0021919878,3.2617269,-0.04706173,-0.057841156,6.2889385,-0.060595658,-0.0017695115,-0.03427254,3.2928064,-0.05929018,-0.046736207,6.9668994,-0.022014305,4.925932,6.92809
